focus,lemma,phrase,meaning_en,contexts_it,register,risk,tags,scenario_prompt,trap,cultural_note,native_sauce,phrase_hint,examples_it,src,tatoeba_it_id,level,keep_reason
phrase,,"A causa del maltempo, la partenza dell'aereo era in ritardo di due ore.","Because of the bad weather, the plane's departure was delayed by two hours.","A causa del maltempo, la partenza dell'aereo era in ritardo di due ore.",neutral,safe,"airport,problems",Mission: Delays/cancellations. Ask what’s happening.,,,,,,tatoeba,3209420,A2,useful but longer
phrase,,Il mio volo è stato cancellato e non posso partire fino a domani.,My flight was canceled and I can't leave until tomorrow.,Il mio volo è stato cancellato e non posso partire fino a domani.,neutral,safe,"airport,problems",Mission: Delays/cancellations. Ask what’s happening.,,,,,,tatoeba,1346950,A2,useful but longer
phrase,,Questa è la chiamata d'imbarco finale per il volo 731 di Japan Airlines.,This is the final boarding call for Japan Airlines Flight 731.,Questa è la chiamata d'imbarco finale per il volo 731 di Japan Airlines.,neutral,safe,"airport,gate",Mission: Find your gate and boarding info.,,,,,,tatoeba,3753874,A2,useful but longer
phrase,,Sono in ritardo?,Am I late?,Sono in ritardo?,neutral,safe,"airport,problems",Mission: Delays/cancellations. Ask what’s happening.,,,,,,tatoeba,5116410,A2,general travel glue
phrase,,Scusi il ritardo.,Sorry for being late.,Scusi il ritardo.,polite,safe,"airport,problems",Mission: Delays/cancellations. Ask what’s happening.,,,,,,tatoeba,7745342,A2,general travel glue
phrase,,Saremo in ritardo?,Are we going to be late?,Saremo in ritardo?,neutral,safe,"airport,problems",Mission: Delays/cancellations. Ask what’s happening.,,,,,,tatoeba,2959553,A2,general travel glue
phrase,,Ci scusiamo per il ritardo.,We apologize for the delay.,Ci scusiamo per il ritardo.,polite,safe,"airport,problems",Mission: Delays/cancellations. Ask what’s happening.,,,,,,tatoeba,4841843,A2,general travel glue
phrase,,Cosa sta causando il ritardo?,What's causing the delay?,Cosa sta causando il ritardo?,neutral,safe,"airport,problems",Mission: Delays/cancellations. Ask what’s happening.,,,,,,tatoeba,2579156,A2,general travel glue
phrase,,Il mio bagaglio non è arrivato.,My baggage didn't arrive.,Il mio bagaglio non è arrivato.,neutral,safe,"airport,baggage",Mission: Baggage claim / baggage problems.,,,,,,manual,,A2,added essentials
phrase,,Dove posso fare un reclamo?,Where can I file a complaint?,Dove posso fare un reclamo?,neutral,safe,"airport,help",Mission: Ask for help politely.,,,,,,manual,,A2,added essentials
phrase,,Mi può aiutare a cambiare il volo?,Can you help me change the flight?,Mi può aiutare a cambiare il volo?,neutral,safe,"airport,problems",Mission: Delays/cancellations. Ask what’s happening.,,,,,,manual,,A2,added essentials
phrase,,Ho una coincidenza stretta.,I have a tight connection.,Ho una coincidenza stretta.,neutral,safe,"airport,problems",Mission: Delays/cancellations. Ask what’s happening.,,,,,,manual,,A2,added essentials
phrase,,Dove devo andare adesso?,Where do I go now?,Dove devo andare adesso?,neutral,safe,"airport,nav",Mission: Find your way in the airport.,,,,,,manual,,A2,added essentials
phrase,,È possibile fare il check-in qui?,Is it possible to check in here?,È possibile fare il check-in qui?,neutral,safe,"airport,checkin",Mission: At check-in. Show your documents.,,,,,,manual,,A2,added essentials
phrase,,Quando si imbarca?,When do we board?,Quando si imbarca?,neutral,safe,"airport,gate",Mission: Find your gate and boarding info.,,,,,,manual,,A2,added essentials
phrase,,Da che gate partiamo?,Which gate do we leave from?,Da che gate partiamo?,neutral,safe,"airport,gate",Mission: Find your gate and boarding info.,,,,,,manual,,A2,added essentials
phrase,,"A causa del maltempo, la partenza dell'aereo è in ritardo.","Due to bad weather, the plane's departure is delayed.","A causa del maltempo, la partenza dell'aereo è in ritardo.",neutral,safe,"airport,problems",Mission: Delays/cancellations and rebooking.,,,,,,manual,,A2,added essentials
phrase,,Il volo è in ritardo di due ore.,The flight is delayed by two hours.,Il volo è in ritardo di due ore.,neutral,safe,"airport,problems",Mission: Delays/cancellations and rebooking.,,,,,,manual,,A2,added essentials
phrase,,Posso cambiare il volo?,Can I change the flight?,Posso cambiare il volo?,neutral,safe,"airport,problems",Mission: Delays/cancellations and rebooking.,,,,,,manual,,A2,added essentials
phrase,,Posso cambiare la data?,Can I change the date?,Posso cambiare la data?,neutral,safe,"airport,problems",Mission: Delays/cancellations and rebooking.,,,,,,manual,,A2,added essentials
phrase,,Quando parte il prossimo volo?,When does the next flight leave?,Quando parte il prossimo volo?,neutral,safe,"airport,problems",Mission: Delays/cancellations and rebooking.,,,,,,manual,,A2,added essentials
phrase,,C'è un altro volo oggi?,Is there another flight today?,C'è un altro volo oggi?,neutral,safe,"airport,problems",Mission: Delays/cancellations and rebooking.,,,,,,manual,,A2,added essentials
phrase,,Posso parlare con un addetto?,Can I speak to a staff member?,Posso parlare con un addetto?,neutral,safe,"airport,help",Mission: Ask for help politely.,,,,,,manual,,A2,added essentials
phrase,,Questa è la chiamata d'imbarco finale.,This is the final boarding call.,Questa è la chiamata d'imbarco finale.,neutral,safe,"airport,gate",Mission: Find your gate and boarding info.,,,,,,manual,,A2,added essentials
phrase,,Il gate è stato cambiato.,The gate has been changed.,Il gate è stato cambiato.,neutral,safe,"airport,gate",Mission: Find your gate and boarding info.,,,,,,manual,,A2,added essentials
phrase,,Il volo è stato posticipato.,The flight has been postponed.,Il volo è stato posticipato.,neutral,safe,"airport,problems",Mission: Delays/cancellations and rebooking.,,,,,,manual,,A2,added essentials
phrase,,"Non ho capito, può ripetere?","I didn't understand, can you repeat?","Non ho capito, può ripetere?",neutral,safe,"airport,help",Mission: Ask for help politely.,,,,,,manual,,A2,added essentials
phrase,,"Può ripetere, per favore?","Can you repeat, please?","Può ripetere, per favore?",polite,safe,"airport,help",Mission: Ask for help politely.,,,,,,manual,,A2,added essentials
