focus,lemma,phrase,meaning_en,contexts_it,register,risk,tags,scenario_prompt,trap,cultural_note,native_sauce,phrase_hint,examples_it,src,tatoeba_it_id
phrase,,Mi pare che il treno sia in ritardo.,It seems to me that the train is late.,Mi pare che il treno sia in ritardo.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,4685
phrase,,Questo biglietto è valido solo per due giorni dopo l'acquisto.,This ticket holds good only for two days after purchase.,Questo biglietto è valido solo per due giorni dopo l'acquisto.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,350288
phrase,,"Bob, aiutami a portare la sua valigia in soggiorno.","Bob, help me carry his suitcase to the living room.","Bob, aiutami a portare la sua valigia in soggiorno.",neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,350316
phrase,,"In caso di ritardo nella consegna, abbiamo una speciale assicurazione sul ritardo.","In case the shipment is delayed, we have special delay insurance.","In caso di ritardo nella consegna, abbiamo una speciale assicurazione sul ritardo.",neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,350327
phrase,,Un passaporto è una cosa senza la quale non puoi andare in un paese straniero.,A passport is something you cannot do without when you go to a foreign country.,Un passaporto è una cosa senza la quale non puoi andare in un paese straniero.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,350348
phrase,,C'era un libro sul tavolo?,Was there a book on the desk?,C'era un libro sul tavolo?,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,350436
phrase,,Chiamò sua madre dall'aeroporto.,He called his mother from the airport.,Chiamò sua madre dall'aeroporto.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,350442
phrase,,Portò il suo bagaglio sul treno.,He carried her luggage to the train.,Portò il suo bagaglio sul treno.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,350550
phrase,,C'erano bicchieri sul tavolo?,Were there any glasses on the table?,C'erano bicchieri sul tavolo?,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,350626
phrase,,Spiegò il motivo del suo ritardo.,She explained the reason why she was late.,Spiegò il motivo del suo ritardo.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,350843
phrase,,Probabilmente farà tardi quindi faresti meglio a dirgli un'altra volta che l'incontro è alle sette per sicurezza.,He's likely to be late so you'd better tell him again that the meeting time is seven to make double sure.,Probabilmente farà tardi quindi faresti meglio a dirgli un'altra volta che l'incontro è alle sette per sicurezza.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,350938
phrase,,Ti chiamo appena arrivo in aeroporto.,I'll phone you as soon as I get to the airport.,Ti chiamo appena arrivo in aeroporto.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,350996
phrase,,Il treno partirà in ritardo.,The train's departure will be delayed.,Il treno partirà in ritardo.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,351142
phrase,,Per via del brutto tempo l'aereo ha fatto ritardo.,"Due to bad weather, the plane was late.",Per via del brutto tempo l'aereo ha fatto ritardo.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,353444
phrase,,Si sedettero intorno al tavolo per giocare a carte.,They sat around the table to play cards.,Si sedettero intorno al tavolo per giocare a carte.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,359444
phrase,,Il suo errore era volontario.,His mistake was intentional.,Il suo errore era volontario.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,373874
phrase,,Sei sempre in ritardo.,You are always late.,Sei sempre in ritardo.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,374194
phrase,,Ho una foto di un aeroporto.,I have a picture of an airport.,Ho una foto di un aeroporto.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,374246
phrase,,"Quando si comincia ad assomigliare alla foto del proprio passaporto, si dovrebbe partire in vacanza.","When you're beginning to look like the photo in your passport, you should go on a holiday.","Quando si comincia ad assomigliare alla foto del proprio passaporto, si dovrebbe partire in vacanza.",neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,374291
phrase,,Oggi è nuvoloso.,Today is cloudy.,Oggi è nuvoloso.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,374468
phrase,,C'è un fiore sul tavolo.,There is a flower on the table.,C'è un fiore sul tavolo.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,375028
phrase,,La primavera è in ritardo quest'anno.,Spring is late this year.,La primavera è in ritardo quest'anno.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,376571
phrase,,C'è un'arancia sul tavolo.,There's an orange on the table.,C'è un'arancia sul tavolo.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,377172
phrase,,Questo biglietto è valido per tre mesi.,This ticket is valid for three months.,Questo biglietto è valido per tre mesi.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,380166
phrase,,Tom era in ritardo per la cena.,Tom was late for dinner.,Tom era in ritardo per la cena.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,380179
phrase,,C'è una mela sul tavolo.,An apple sits on the table.,C'è una mela sul tavolo.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,380223
phrase,,Il Golden Gate Bridge è fatto di ferro.,The Golden Gate Bridge is made of iron.,Il Golden Gate Bridge è fatto di ferro.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,381183
phrase,,Quanto è lungo il Golden Gate Bridge?,How long is the Golden Gate Bridge?,Quanto è lungo il Golden Gate Bridge?,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,381184
phrase,,Devo rinnovare il mio passaporto.,I must renew my passport.,Devo rinnovare il mio passaporto.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,381199
phrase,,C'è un gatto sotto il tavolo?,Is there a cat under the table?,C'è un gatto sotto il tavolo?,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,381809
phrase,,Ha messo la rivista sul tavolo.,She put the magazine on the table.,Ha messo la rivista sul tavolo.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,381841
phrase,,Non dimenticare il biglietto.,Don't forget the ticket.,Non dimenticare il biglietto.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,382034
phrase,,Non dimenticarti il biglietto.,Don't forget the ticket.,Non dimenticarti il biglietto.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,382035
phrase,,Non dimenticatevi il biglietto.,Don't forget the ticket.,Non dimenticatevi il biglietto.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,382036
phrase,,Un gatto persiano stava dormendo sotto il tavolo.,A Persian cat was sleeping under the table.,Un gatto persiano stava dormendo sotto il tavolo.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,382103
phrase,,Sul tavolo c'era un gatto.,On the table there was a cat.,Sul tavolo c'era un gatto.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,382113
phrase,,Ci sono le impronte di un gatto sul tavolo.,There are footprints of a cat on the table.,Ci sono le impronte di un gatto sul tavolo.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,382114
phrase,,Senza dubbio sarà in ritardo.,He will doubtless be late.,Senza dubbio sarà in ritardo.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,385133
phrase,,Non arrivare in ritardo a scuola domani.,Don't be late to school tomorrow.,Non arrivare in ritardo a scuola domani.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,386775
phrase,,La mia valigia è rotta.,My suitcase is broken.,La mia valigia è rotta.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,387492
phrase,,Qual è la vostra valigia?,Which is your luggage?,Qual è la vostra valigia?,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,388482
phrase,,Qual è la tua valigia?,Which is your luggage?,Qual è la tua valigia?,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,388483
phrase,,Ero in ritardo a scuola.,I was late to school.,Ero in ritardo a scuola.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,388799
phrase,,L'autobus è in ritardo.,The bus is late.,L'autobus è in ritardo.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,389704
phrase,,"Mi mostri il passaporto, per favore.","Show me your passport, please.","Mi mostri il passaporto, per favore.",neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,395565
phrase,,"Mostrami il passaporto, per favore.","Show me your passport, please.","Mostrami il passaporto, per favore.",neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,395566
phrase,,Questo autobus vi porterà in aeroporto.,This bus will take you to the airport.,Questo autobus vi porterà in aeroporto.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,399685
phrase,,Devo andare in aeroporto per incontrare mio cugino.,I have to go to the airport to meet my cousin.,Devo andare in aeroporto per incontrare mio cugino.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,399823
phrase,,Il biglietto è valido per una settimana.,The ticket is valid for a week.,Il biglietto è valido per una settimana.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,409362
phrase,,Questo tavolo è prenotato.,This table is reserved.,Questo tavolo è prenotato.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,409514
phrase,,Piegate il foglio in quattro.,Fold the paper in four.,Piegate il foglio in quattro.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,411725
phrase,,Giochiamo a pallavolo.,Let's play volleyball.,Giochiamo a pallavolo.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,411808
phrase,,Mi dia un biglietto per lo spettacolo delle 7 in punto.,Please give me a ticket for the seven o'clock show.,Mi dia un biglietto per lo spettacolo delle 7 in punto.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,411921
phrase,,Il gatto si era addormentato sul tavolo.,The cat slept on the table.,Il gatto si era addormentato sul tavolo.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,415494
phrase,,Posso vedere il vostro passaporto?,May I see your passport?,Posso vedere il vostro passaporto?,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,416964
phrase,,Una forchetta è caduta dal tavolo.,A fork fell off of the table.,Una forchetta è caduta dal tavolo.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,418764
phrase,,Le gambe del tavolo sono traballanti.,The legs of the table are shaky.,Le gambe del tavolo sono traballanti.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,419096
phrase,,C'è un paio di forbici sul tavolo.,There is a pair of scissors on the desk.,C'è un paio di forbici sul tavolo.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,419174
phrase,,"Ci vogliono otto ore per un volo da Zurigo a Boston, ma solo sei per il ritorno.","It takes eight hours to fly from Zurich to Boston, but only six for the return trip.","Ci vogliono otto ore per un volo da Zurigo a Boston, ma solo sei per il ritorno.",neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,425496
phrase,,Ecco il mio biglietto di ritorno.,Here's my return ticket.,Ecco il mio biglietto di ritorno.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,431946
phrase,,"Completa i dialoghi con le forme coniugate di ""avere"".","Complete the dialogue with the conjugated form of ""to have"".","Completa i dialoghi con le forme coniugate di ""avere"".",neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,465472
phrase,,C'è un biglietto sulla scrivania.,There is a card on the desk.,C'è un biglietto sulla scrivania.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,470102
phrase,,Metti la pistola sul tavolo.,Put the gun on the table.,Metti la pistola sul tavolo.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,479765
phrase,,L'aeroporto era chiuso a causa della nebbia.,The airport was closed because of the fog.,L'aeroporto era chiuso a causa della nebbia.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,497685
phrase,,"Sì, arrivo!","Yes, I'm coming!","Sì, arrivo!",neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,499811
phrase,,Questo tavolo è di legno.,This table is wooden.,Questo tavolo è di legno.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,521382
phrase,,C'è una radio sul tavolo.,There's a radio on the table.,C'è una radio sul tavolo.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,521389
phrase,,Vuoi che ti compri il biglietto per il concerto?,Shall I buy you a ticket for the concert?,Vuoi che ti compri il biglietto per il concerto?,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,524208
phrase,,"Nella mia città c'è un autobus speciale, chiamato BLQ, che parte dall'aeroporto e si ferma vicino a casa mia.","In my city there is a special bus, called BLQ, which leaves from the airport and stops near my house.","Nella mia città c'è un autobus speciale, chiamato BLQ, che parte dall'aeroporto e si ferma vicino a casa mia.",neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,527180
phrase,,L'aeroporto è abbastanza lontano dal centro della città.,The airport is quite far from the city centre.,L'aeroporto è abbastanza lontano dal centro della città.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,527182
phrase,,Un gatto è sotto il tavolo.,Under the table is a cat.,Un gatto è sotto il tavolo.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,534279
phrase,,L'orologio è in ritardo.,The clock is slow.,L'orologio è in ritardo.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,539000
phrase,,Ho detto loro di mandarmi un altro biglietto.,I told them to send me another ticket.,Ho detto loro di mandarmi un altro biglietto.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,568713
phrase,,"Dammi il tuo passaporto, Tommaso. Lo terrò nella mia cassaforte.","Give me your passport, Tom. I'll keep it in my safe.","Dammi il tuo passaporto, Tommaso. Lo terrò nella mia cassaforte.",neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,585697
phrase,,Avete un tavolo per cinque persone?,Do you have a table for five?,Avete un tavolo per cinque persone?,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,585751
phrase,,Studiò il volo degli uccelli.,He studied the flight of birds.,Studiò il volo degli uccelli.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,603421
phrase,,Ha studiato il volo degli uccelli.,He studied the flight of birds.,Ha studiato il volo degli uccelli.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,603422
phrase,,Va' al diavolo!,Go to hell!,Va' al diavolo!,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,608166
phrase,,Mi piacciono sia la pallavolo sia il basket.,I like volleyball as well as basketball.,Mi piacciono sia la pallavolo sia il basket.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,612001
phrase,,È sempre in ritardo per andare a scuola.,He is always late for school.,È sempre in ritardo per andare a scuola.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,612655
phrase,,Puoi mostrarmi il tuo biglietto del ritorno?,Could you show me your return ticket?,Puoi mostrarmi il tuo biglietto del ritorno?,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,612821
phrase,,Potete mostrarmi il vostro biglietto del ritorno?,Could you show me your return ticket?,Potete mostrarmi il vostro biglietto del ritorno?,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,612823
phrase,,Può mostrarmi il suo biglietto del ritorno?,Could you show me your return ticket?,Può mostrarmi il suo biglietto del ritorno?,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,612824
phrase,,Ho incontrato un amico all'aeroporto.,I met a friend of mine at the airport.,Ho incontrato un amico all'aeroporto.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,613386
phrase,,Allacciati sempre la cintura di sicurezza.,Fasten your seat belt at all times.,Allacciati sempre la cintura di sicurezza.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,617007
phrase,,Allacciatevi sempre la cintura di sicurezza.,Fasten your seat belt at all times.,Allacciatevi sempre la cintura di sicurezza.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,617009
phrase,,Hai un biglietto di ritorno per il Giappone?,Do you have a return ticket to Japan?,Hai un biglietto di ritorno per il Giappone?,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,617617
phrase,,Cosa diavolo stai facendo qua?,What on earth are you doing here?,Cosa diavolo stai facendo qua?,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,617651
phrase,,"Mi può mostrare il suo passaporto, per favore?","Show me your passport, please.","Mi può mostrare il suo passaporto, per favore?",neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,621198
phrase,,Non puoi averlo lasciato all'aeroporto.,You can't have left it at the airport.,Non puoi averlo lasciato all'aeroporto.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,621523
phrase,,Dov'è il gate d'imbarco per Japan Airlines 124?,Where is the boarding gate for Japan Airlines 124?,Dov'è il gate d'imbarco per Japan Airlines 124?,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,624818
phrase,,Il treno era in ritardo per una pesante nevicata.,The train was delayed by a heavy snowfall.,Il treno era in ritardo per una pesante nevicata.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,624819
phrase,,Come al solito l'insegnante di fisica era in ritardo per la lezione.,"As usual, the physics teacher was late for class.",Come al solito l'insegnante di fisica era in ritardo per la lezione.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,626363
phrase,,"Porto la sua valigia in camera sua, signore.","I'll take your suitcase to your room, sir.","Porto la sua valigia in camera sua, signore.",neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,632150
phrase,,"Beh, a parlare del diavolo...","Well, speak of the devil.","Beh, a parlare del diavolo...",neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,632182
phrase,,Le chiavi sono sul tavolo.,The keys are on the table.,Le chiavi sono sul tavolo.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,632991
phrase,,Non puoi averla lasciata all'aeroporto.,You can't have left it at the airport.,Non puoi averla lasciata all'aeroporto.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,633046
