focus,lemma,phrase,meaning_en,contexts_it,register,risk,tags,scenario_prompt,trap,cultural_note,native_sauce,phrase_hint,examples_it
phrase,,Un caffè, per favore,A coffee (espresso), please,"Buongiorno! Un caffè, per favore.",polite,safe,"bar,ordering,politeness","You're at the counter. Order an espresso politely.","Don't say 'expresso'. It's 'espresso'.","In Italy, 'un caffè' usually means an espresso.","Often said quickly at the counter with eye contact.",,"Un caffè, per favore.|Un caffè, grazie.|Vorrei un caffè."
word,pagare,,to pay,"Scusi, dove si paga?|Posso pagare qui?",polite,safe,"bar,payment","You don’t know where to pay. Ask politely.","Don't assume table service; ask first.","Many bars have you pay at the cashier (la cassa).","A super common polite opener is 'Scusi'.","Dove si paga?","Devo pagare.|Posso pagare qui?|Pago in contanti."
phrase,,Dove si paga?,Where do you pay?,"Scusi, dove si paga?",polite,safe,"bar,payment","You're confused. Ask where you should pay.","If you're at a table, they might bring the bill — but many places still prefer the cassa.","","Short and direct, but still polite.",,"Dove si paga?|Mi scusi, dove si paga?|Posso pagare qui?"
word,volere,,to want (polite form: vorrei = I would like),"Vorrei un caffè, grazie.|Vorrei pagare, per favore.",polite,safe,"politeness,ordering","Order politely using 'vorrei'.","Avoid 'Voglio un caffè' with strangers.","'Vorrei' sounds polite. 'Voglio' can sound too strong in service situations.","Add 'grazie' at the end and you're golden.","Vorrei un caffè","Vorrei un caffè, per favore.|Vorrei pagare.|Vorrei un cappuccino."
phrase,,Vorrei un caffè, grazie,I’d like a coffee, thanks,"Vorrei un caffè, grazie.",polite,safe,"bar,ordering,politeness","Order an espresso politely and add 'grazie'.","","","This is a safe default phrase almost everywhere.",,"Vorrei un caffè, grazie.|Un caffè, grazie.|Vorrei un caffè, per favore."
phrase,,Un cappuccino, per favore,A cappuccino, please,"Un cappuccino, per favore.",polite,safe,"bar,ordering","It's morning. Order a cappuccino politely.","Ordering cappuccino after lunch can get you side-eye (not illegal, just cultural).","Cappuccino is typically a morning drink in Italy.","If you don’t care, order it anyway. Just know the vibe.",,"Un cappuccino, per favore.|Vorrei un cappuccino.|Un cappuccino, grazie."
word,prendere,,to have / to take,"Prendo un caffè.|Prendiamo un caffè?",neutral,safe,"bar,daily,invite","Invite a friend: suggest grabbing coffee.","If you want take-away, say 'da portar via' / 'da asporto'.","'Prendere un caffè' often means 'have a coffee' (not literally take it away).","Used casually among friends too.","Prendo un caffè","Prendo un caffè.|Prendiamo un caffè?|Prendo un cappuccino."
phrase,,Prendiamo un caffè?,Shall we have a coffee?,"Ehi, prendiamo un caffè?",friendly,safe,"invite,friends","You see a friend. Invite them for coffee casually.","","", "This is a social move: coffee = quick chat.",,"Prendiamo un caffè?|Ti va un caffè?|Andiamo a prendere un caffè?"
word,qui,,here,"Qui o da portar via?",neutral,safe,"bar,takeaway","Answer: you want to drink here.","","Bar staff may ask if you drink here or take away.","A very common question you’ll hear in busy places.","Qui o da portar via?","Qui, grazie.|Qui va bene.|Lo prendo qui."
phrase,,Qui, grazie,Here, thanks,"Qui, grazie.",polite,safe,"bar,takeaway","They ask 'Qui o da portar via?'. Say you’ll drink here.","","","Short, fast, natural.",,"Qui, grazie.|Qui, per favore.|Qui va bene, grazie."
