focus,lemma,phrase,meaning_en,contexts_it,register,risk,tags,scenario_prompt,trap,cultural_note,native_sauce,phrase_hint,examples_it,src,tatoeba_it_id,level,keep_reason
phrase,,Dov'è il gate d'imbarco per il volo UA 111?,Where is the boarding gate for UA 111?,Dov'è il gate d'imbarco per il volo UA 111?,neutral,safe,"airport,gate",Mission: Find your gate and boarding info.,,,,,,tatoeba,13331107,A1,core survival
phrase,,"Posso vedere la sua carta d'imbarco, per favore?","May I see your boarding pass, please?","Posso vedere la sua carta d'imbarco, per favore?",polite,safe,"airport,checkin",Mission: At check-in. Ask about your boarding pass or reservation.,,,,,,tatoeba,6299193,A1,core survival
phrase,,Il volo 123 sarà in ritardo?,Is Flight 123 going to be delayed?,Il volo 123 sarà in ritardo?,neutral,safe,"airport,problems",Mission: Delays/cancellations. Ask what’s happening.,,,,,,tatoeba,5085843,A1,core survival
phrase,,Come arrivo al Gate 5?,How do I get to Gate 5?,Come arrivo al Gate 5?,neutral,safe,"airport,gate",Mission: Find your gate and boarding info.,,,,,,tatoeba,2993074,A1,core survival
phrase,,Il nostro volo è in ritardo.,Our flight is delayed.,Il nostro volo è in ritardo.,neutral,safe,"airport,problems",Mission: Delays/cancellations. Ask what’s happening.,,,,,,tatoeba,13071816,A1,core survival
phrase,,Il nostro volo è stato cancellato.,Our flight was canceled.,Il nostro volo è stato cancellato.,neutral,safe,"airport,problems",Mission: Delays/cancellations. Ask what’s happening.,,,,,,tatoeba,1361178,A1,core survival
phrase,,La compagnia aerea ha perso la mia valigia.,The airline lost my suitcase.,La compagnia aerea ha perso la mia valigia.,neutral,safe,"airport,baggage",Mission: Baggage drop / baggage problems.,,,,,,tatoeba,6668945,A1,core survival
phrase,,La mia valigia è stata rubata all'aeroporto.,My suitcase was stolen at the airport.,La mia valigia è stata rubata all'aeroporto.,neutral,safe,"airport,baggage",Mission: Baggage drop / baggage problems.,,,,,,tatoeba,12596655,A1,core survival
phrase,,"Posso vedere il suo passaporto, per favore?","May I see your passport, please?","Posso vedere il suo passaporto, per favore?",polite,safe,"airport,documents",Mission: Passport control. Speak to the officer politely.,,,,,,tatoeba,750456,A1,core survival
phrase,,"Mi può mostrare il suo passaporto, per favore?","Show me your passport, please.","Mi può mostrare il suo passaporto, per favore?",polite,safe,"airport,documents",Mission: Passport control. Speak to the officer politely.,,,,,,tatoeba,621198,A1,core survival
phrase,,Dov'è il gate?,Where is the gate?,Dov'è il gate?,neutral,safe,"airport,gate",Mission: Find your gate and boarding info.,,,,,,tatoeba,1397544,A1,core survival
phrase,,Dov'è la dogana?,Where is Customs?,Dov'è la dogana?,neutral,safe,"airport,mission",Mission: Airport survival. Use this naturally.,,,,,,tatoeba,4782308,A1,core survival
phrase,,Dov'è la mia valigia?,Where's my suitcase?,Dov'è la mia valigia?,neutral,safe,"airport,baggage",Mission: Baggage drop / baggage problems.,,,,,,tatoeba,2286944,A1,core survival
phrase,,Dov'è la sua valigia?,Where's your suitcase?,Dov'è la sua valigia?,neutral,safe,"airport,baggage",Mission: Baggage drop / baggage problems.,,,,,,tatoeba,5973930,A1,core survival
phrase,,Qual è la sua valigia?,Which is your luggage?,Qual è la sua valigia?,neutral,safe,"airport,baggage",Mission: Baggage drop / baggage problems.,,,,,,tatoeba,3294287,A1,core survival
phrase,,Il volo 23 è in orario?,Is flight 23 on time?,Il volo 23 è in orario?,neutral,safe,"airport,mission",Mission: Airport survival. Use this naturally.,,,,,,tatoeba,936017,A1,core survival
phrase,,"Passaporto, per favore.","Passport, please.","Passaporto, per favore.",polite,safe,"airport,documents",Mission: Passport control. Speak to the officer politely.,,,,,,tatoeba,1563303,A1,core survival
phrase,,Il volo 123 è arrivato?,Has Flight 123 arrived?,Il volo 123 è arrivato?,neutral,safe,"airport,mission",Mission: Airport survival. Use this naturally.,,,,,,tatoeba,5333334,A1,core survival
phrase,,Qual è l'ora di imbarco?,What's the boarding time?,Qual è l'ora di imbarco?,neutral,safe,"airport,gate",Mission: Find your gate and boarding info.,,,,,,tatoeba,4137784,A1,core survival
